hash_fn,chain_len,execution_times
SHA-256,10,81
SHA-256,20,112
SHA-256,30,140
SHA-256,40,170
SHA-256,50,199
SHA-256,60,228
SHA-256,70,259
SHA-256,80,288
SHA-256,90,317
SHA-256,100,350
MD5,10,74
MD5,20,97
MD5,30,120
MD5,40,144
MD5,50,168
MD5,60,191
MD5,70,213
MD5,80,239
MD5,90,262
MD5,100,287
NTLM,10,73
NTLM,20,98
NTLM,30,121
NTLM,40,146
NTLM,50,170
NTLM,60,194
NTLM,70,216
NTLM,80,241
NTLM,90,264
NTLM,100,290
SHA-512,10,89
SHA-512,20,127
SHA-512,30,162
SHA-512,40,199
SHA-512,50,239
SHA-512,60,276
SHA-512,70,327
SHA-512,80,347
SHA-512,90,397
SHA-512,100,425
